Project Name,URL,Language,Forks,Open issues,Size Byte,Stars,Topics,Contributors,Type
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,JavaScript,28138,151,301967,341789,"careers, certification, community, curriculum, d3, education, freecodecamp, hacktoberfest, javascript, learn-to-code, math, nodejs, nonprofits, programming, react, teachers",4827,Web Application
vuejs/vue,https://github.com/vuejs/vue,JavaScript,31603,564,27822,193792,"framework, frontend, javascript, vue",337,"Web Application, Framework"
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,TypeScript,27111,122,109182,188236,"angular-roadmap, backend-roadmap, computer-science, dba-roadmap, developer-roadmap, devops-roadmap, engineering, frontend-roadmap, go-roadmap, java-roadmap, python-roadmap, react-roadmap, roadmap, study-plan",100,Web Application
public-apis/public-apis,https://github.com/public-apis/public-apis,Python,21216,8,5180,184108,"api, apis, dataset, development, free, list, lists, open-source, public, public-api, public-apis, resources, software",1372,Web Application
facebook/react,https://github.com/facebook/react,JavaScript,37602,973,176253,183834,"declarative, frontend, javascript, library, react, ui",1706,Web Application
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,Python,30659,290,11154,165725,"design, design-patterns, design-system, development, interview, interview-practice, interview-questions, programming, python, system, web, web-application, webapp",113,Web Application
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,C++,86454,2708,865333,163385,"deep-learning, deep-neural-networks, distributed, machine-learning, ml, neural-network, python, tensorflow",3934,AI
twbs/bootstrap,https://github.com/twbs/bootstrap,JavaScript,76269,431,196945,155770,"bootstrap, css, css-framework, html, javascript, sass, scss",1508,"Web Application, Framework"
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,Shell,23745,568,9444,141725,"cli, cli-app, hacktoberfest, plugin-framework, plugins, productivity, shell, terminal, theme, themes, zsh, zsh-configuration",2250,"Web Application, Framework"
flutter/flutter,https://github.com/flutter/flutter,Dart,20973,10494,186599,137224,"android, app-framework, dart, dart-platform, desktop, fuchsia, ios, linux-desktop, macos, material-design, mobile, skia, web, web-framework, windows",1064,"Web Application, Framework, Mobile App"
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,JavaScript,22570,236,4397,136572,"algorithm, algorithms, computer-science, data-structures, interview, interview-preparation, javascript, javascript-algorithms",196,Other
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,Python,34593,250,12571,131364,"algorithm, algorithm-competitions, algorithms-implemented, algos, community-driven, education, hacktoberfest, interview, learn, practice, python, searches, sorting-algorithms, sorts",829,Other
microsoft/vscode,https://github.com/microsoft/vscode,TypeScript,21763,5805,466466,128593,"editor, electron, microsoft, typescript, visual-studio-code",1975,Other
torvalds/linux,https://github.com/torvalds/linux,C,41830,319,3672815,128064,,,Other
airbnb/javascript,https://github.com/airbnb/javascript,JavaScript,23002,135,3465,120614,"arrow-functions, es2015, es2016, es2017, es2018, es6, eslint, javascript, linting, naming-conventions, style-guide, style-linter, styleguide, tc39",528,Other
