Project Name,URL,Language,Forks,Watchers,Size Byte,Stars,Topics,Contributors,Type
vsouza/awesome-ios,https://github.com/vsouza/awesome-ios,Swift,6478,39051,13180,39051,"['apple-swift', 'arkit', 'awesome', 'ios', 'ios-animation', 'ios-libraries', 'objective-c', 'objective-c-library', 'swift-extensions', 'swift-framework', 'swift-language', 'swift-library', 'swift-programming']",986,"['Mobile App', 'Web Application', 'Framework']"
etcd-io/etcd,https://github.com/etcd-io/etcd,Go,8358,38959,66914,38959,"['consensus', 'database', 'distributed-database', 'distributed-systems', 'etcd', 'go', 'key-value', 'kubernetes', 'raft']",819,['Other']
localstack/localstack,https://github.com/localstack/localstack,Python,2941,38902,12748,38902,"['aws', 'continuous-integration', 'developer-tools', 'localstack', 'python', 'testing']",431,['Other']
nwjs/nw.js,https://github.com/nwjs/nw.js,JavaScript,3950,38747,130317,38747,"['desktop', 'javascript', 'node-webkit', 'nodejs', 'nwjs', 'web-application-framework']",125,"['Web Application', 'Framework']"
Dogfalo/materialize,https://github.com/Dogfalo/materialize,JavaScript,4892,38667,163569,38667,"['css', 'css-framework', 'design', 'framework', 'javascript', 'material', 'material-design']",302,"['Web Application', 'Framework']"
gogs/gogs,https://github.com/gogs/gogs,Go,4476,38554,195396,38554,"['git', 'go', 'gogs', 'lsif-enabled']",516,['Other']
vitejs/vite,https://github.com/vitejs/vite,TypeScript,2906,38485,16124,38485,"['build-tool', 'dev-server', 'frontend', 'hmr', 'vite']",484,['Web Application']
JuliaLang/julia,https://github.com/JuliaLang/julia,Julia,4830,38405,230513,38405,"['hpc', 'julia', 'julia-language', 'machine-learning', 'numerical', 'programming-language', 'science', 'scientific']",1451,['AI']
x64dbg/x64dbg,https://github.com/x64dbg/x64dbg,C++,1771,38162,57229,38162,"['cpp', 'debugger', 'disassembler', 'hacktoberfest', 'reverse-engineering', 'security', 'windows', 'x64', 'x86', 'x86-64']",109,['Other']
facebook/jest,https://github.com/facebook/jest,TypeScript,5676,38158,269289,38158,"['easy', 'expectation', 'facebook', 'immersive', 'javascript', 'painless', 'painless-javascript-testing', 'snapshot', 'testing']",1425,['Other']
anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,JavaScript,8814,38091,1019,38091,"['dynamic', 'hacktoberfest', 'profile-readme', 'readme-generator', 'readme-stats', 'serverless']",187,['Other']
iamkun/dayjs,https://github.com/iamkun/dayjs,JavaScript,1896,38068,5112,38068,"['date', 'date-formatting', 'datetime', 'dayjs', 'moment', 'time']",286,['Other']
vercel/hyper,https://github.com/vercel/hyper,TypeScript,3166,37956,20876,37956,"['css', 'html', 'hyper', 'javascript', 'linux', 'macos', 'react', 'terminal', 'terminal-emulators']",277,['Web Application']
DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,TypeScript,26771,37953,814613,37953,"['definition', 'dts', 'hacktoberfest', 'types', 'typescript', 'typescript-definitions', 'typings']",18215,['Other']
hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,Vue,2646,37826,58812,37826,"['api', 'api-client', 'api-rest', 'api-testing', 'developer-tools', 'graphql', 'http', 'http-client', 'nuxt', 'nuxtjs', 'pwa', 'rest', 'rest-api', 'spa', 'testing', 'testing-tools', 'tools', 'vue', 'vuejs', 'websocket']",174,['Web Application']
alacritty/alacritty,https://github.com/alacritty/alacritty,Rust,2151,37742,11574,37742,"['bsd', 'gpu', 'linux', 'macos', 'opengl', 'rust', 'terminal', 'terminal-emulators', 'vte', 'windows']",370,['Other']
mozilla/pdf.js,https://github.com/mozilla/pdf.js,JavaScript,8670,37726,130301,37726,[],424,['Other']
bailicangdu/vue2-elm,https://github.com/bailicangdu/vue2-elm,Vue,12135,37576,34427,37576,"['es2015', 'flex', 'sass', 'vue', 'vue-router', 'vuex', 'webpack']",17,['Web Application']
caddyserver/caddy,https://github.com/caddyserver/caddy,Go,3007,37507,15321,37507,"['automatic-https', 'caddyfile', 'go', 'http', 'http-server', 'https', 'privacy', 'reverse-proxy', 'security', 'tls', 'web-server']",130,['Web Application']
danielmiessler/SecLists,https://github.com/danielmiessler/SecLists,PHP,19166,37231,848483,37231,[],221,['Other']
Alamofire/Alamofire,https://github.com/Alamofire/Alamofire,Swift,7030,37170,25171,37170,"['alamofire', 'carthage', 'certificate-pinning', 'cocoapods', 'httpurlresponse', 'networking', 'parameter-encoding', 'public-key-pinning', 'request', 'response', 'swift', 'swift-package-manager', 'urlrequest', 'urlsession', 'xcode']",241,['Other']
traefik/traefik,https://github.com/traefik/traefik,Go,4076,37045,62236,37045,"['consul', 'docker', 'etcd', 'go', 'golang', 'kubernetes', 'letsencrypt', 'load-balancer', 'marathon', 'mesos', 'microservice', 'reverse-proxy', 'zookeeper']",700,['Other']
apache/dubbo,https://github.com/apache/dubbo,Java,24710,36885,39100,36885,['dubbo'],412,['Other']
fighting41love/funNLP,https://github.com/fighting41love/funNLP,Python,10648,36793,137770,36793,[],10,['Other']
cypress-io/cypress,https://github.com/cypress-io/cypress,JavaScript,2217,36790,509829,36790,"['cypress', 'e2e-testing', 'e2e-tests', 'end-to-end-testing', 'javascript-tests', 'test', 'test-automation', 'test-runner', 'test-suite', 'testing', 'testing-tools', 'tests']",344,['Other']
impress/impress.js,https://github.com/impress/impress.js,JavaScript,6848,36599,4511,36599,[],82,['Other']
obsproject/obs-studio,https://github.com/obsproject/obs-studio,C,5661,36561,53058,36561,"['c', 'c-plus-plus', 'directshow', 'facebook-live', 'ffmpeg', 'game-capture', 'live-streaming', 'screen-capture', 'twitch-tv', 'video-recording', 'youtube-live']",507,['Other']
FreeCodeCampChina/freecodecamp.cn,https://github.com/FreeCodeCampChina/freecodecamp.cn,CSS,1377,36537,30959,36537,"['career', 'certification', 'cn-freecodecamp', 'community', 'curriculum', 'd3', 'education', 'freecodecamp', 'javascript', 'learn-to-code', 'math', 'nodejs', 'nonprofits', 'react']",361,['Web Application']
Unitech/pm2,https://github.com/Unitech/pm2,JavaScript,2383,36529,13019,36529,"['command-line', 'command-line-tool', 'deploy', 'load-balancer', 'monitoring', 'node', 'nodejs', 'pm2', 'process-manager', 'production']",305,['Other']
algorithm-visualizer/algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,JavaScript,5936,36403,23832,36403,"['algorithm', 'animation', 'data-structure', 'visualization']",29,['Other']
styled-components/styled-components,https://github.com/styled-components/styled-components,TypeScript,2248,36073,10535,36073,"['css', 'css-in-js', 'react', 'styled-components']",322,['Web Application']
fastlane/fastlane,https://github.com/fastlane/fastlane,Ruby,5134,34155,80521,34155,"['android', 'apps', 'automation', 'deployment', 'fastlane', 'hacktoberfest', 'hacktoberfest2021', 'ios', 'mobile', 'ruby', 'screenshots']",1468,['Mobile App']
dcloudio/uni-app,https://github.com/dcloudio/uni-app,JavaScript,3245,36019,66346,36019,"['hbuilderx', 'javascript', 'miniprogram', 'mpvue', 'uni', 'uni-app', 'uniapp', 'vue']",227,['Web Application']
ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,Go,13293,35821,176564,35821,"['blockchain', 'ethereum', 'geth', 'go', 'p2p']",686,['Other']
pixijs/pixijs,https://github.com/pixijs/pixijs,TypeScript,4508,35643,76083,35643,"['canvas', 'canvas2d', 'data-visualization', 'game', 'glsl', 'javascript', 'pixi', 'pixijs', 'renderer', 'rendering', 'rendering-2d-graphics', 'rendering-engine', 'webgl']",439,['Web Application']
Textualize/rich,https://github.com/Textualize/rich,Python,1143,35462,48194,35462,"['ansi-colors', 'emoji', 'markdown', 'progress-bar', 'progress-bar-python', 'python', 'python-library', 'python3', 'rich', 'syntax-highlighting', 'tables', 'terminal', 'terminal-color', 'traceback', 'tracebacks-rich']",157,['Other']
swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,Python,9611,35346,12400,35346,"['bounty', 'bugbounty', 'bypass', 'cheatsheet', 'enumeration', 'hacking', 'hacktoberfest', 'methodology', 'payload', 'payloads', 'penetration-testing', 'pentest', 'privilege-escalation', 'redteam', 'security', 'vulnerability', 'web-application']",195,['Web Application']
chinese-poetry/chinese-poetry,https://github.com/chinese-poetry/chinese-poetry,JavaScript,7347,35241,209696,35241,"['chinese', 'chinese-poetry', 'ci', 'json', 'poetry', 'tangshi']",52,['Other']
pi-hole/pi-hole,https://github.com/pi-hole/pi-hole,Shell,2235,35232,6522,35232,"['ad-blocker', 'blocker', 'cloud', 'dashboard', 'dhcp', 'dhcp-server', 'dns-server', 'dnsmasq', 'hacktoberfest', 'pi-hole', 'raspberry-pi', 'shell']",221,['Other']
discourse/discourse,https://github.com/discourse/discourse,Ruby,7570,35106,444858,35106,"['discourse', 'ember', 'forum', 'javascript', 'postgresql', 'rails', 'ruby']",965,['Other']
GitSquared/edex-ui,https://github.com/GitSquared/edex-ui,JavaScript,1990,35028,31579,35028,"['desktop', 'edex-ui', 'electron', 'linux', 'macos', 'nodejs', 'science-fiction', 'shell', 'terminal', 'touchscreen', 'tron', 'unixporn', 'windows']",62,['Other']
huginn/huginn,https://github.com/huginn/huginn,Ruby,3211,34946,8371,34946,"['agent', 'automation', 'feed', 'feedgenerator', 'huginn', 'monitoring', 'notifications', 'rss', 'scraper', 'twitter', 'twitter-streaming', 'webscraping']",231,['Web Application']
microsoft/playwright,https://github.com/microsoft/playwright,TypeScript,1528,34847,98627,34847,"['automation', 'chrome', 'chromium', 'e2e-testing', 'electron', 'firefox', 'javascript', 'playwright', 'testing', 'web', 'webkit']",202,['Web Application']
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,Java,8663,34713,21720,34713,"['android', 'chart', 'graph', 'java', 'mpandroidchart']",80,['Mobile App']
hexojs/hexo,https://github.com/hexojs/hexo,JavaScript,4279,34254,7293,34254,"['hexo', 'javascript', 'nodejs', 'static-site-generator']",181,['Other']
fastlane/fastlane,https://github.com/fastlane/fastlane,Ruby,5134,34155,80521,34155,"['android', 'apps', 'automation', 'deployment', 'fastlane', 'hacktoberfest', 'hacktoberfest2021', 'ios', 'mobile', 'ruby', 'screenshots']",1468,['Mobile App']
FiloSottile/mkcert,https://github.com/FiloSottile/mkcert,Go,1624,33936,1831,33936,"['certificates', 'chrome', 'firefox', 'https', 'ios', 'linux', 'local-development', 'localhost', 'macos', 'root-ca', 'tls', 'windows']",38,['Mobile App']
slatedocs/slate,https://github.com/slatedocs/slate,SCSS,21224,33729,2353,33729,"['api', 'api-documentation', 'slate', 'static-site-generator']",140,['Web Application']
CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,Python,6184,33719,369627,33719,"['deep-learning', 'python', 'pytorch', 'tensorflow', 'tts', 'voice-cloning']",18,['AI']
ryanoasis/nerd-fonts,https://github.com/ryanoasis/nerd-fonts,CSS,2624,33688,9225565,33688,"['font', 'font-awesome', 'fonts', 'icon-font', 'iconic-fonts', 'octicons', 'patched-fonts', 'patcher', 'powerline', 'python', 'shell', 'statusline']",133,['Other']
adobe/brackets,https://github.com/adobe/brackets,JavaScript,8194,33682,92974,33682,[],455,['Other']
vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify,TypeScript,6105,33585,74185,33585,"['hacktoberfest', 'javascript', 'material', 'material-components', 'material-design', 'material-theme', 'semantic', 'typescript', 'ui', 'ui-components', 'ui-design', 'ui-kit', 'vue', 'vue-components', 'vue-material', 'vuejs', 'vuejs3', 'vuetify', 'vuetifyjs']",733,['Web Application']
grpc/grpc,https://github.com/grpc/grpc,C++,8817,33477,412073,33477,[],822,['Other']
0voice/interview_internal_reference,https://github.com/0voice/interview_internal_reference,Python,9042,33442,751,33442,[],30,['Other']
commaai/openpilot,https://github.com/commaai/openpilot,Python,6107,33414,1791614,33414,[],282,['Other']
php/php-src,https://github.com/php/php-src,C,7090,33384,469634,33384,[],1314,['Other']
isocpp/CppCoreGuidelines,https://github.com/isocpp/CppCoreGuidelines,Python,4533,33333,26785,33333,[],325,['Other']
AFNetworking/AFNetworking,https://github.com/AFNetworking/AFNetworking,Objective-C,10262,33288,6133,33288,[],374,['Other']
jakevdp/PythonDataScienceHandbook,https://github.com/jakevdp/PythonDataScienceHandbook,Jupyter Notebook,14896,33281,34707,33281,"['jupyter-notebook', 'matplotlib', 'numpy', 'pandas', 'python', 'scikit-learn']",17,['Other']
alvarotrigo/fullPage.js,https://github.com/alvarotrigo/fullPage.js,JavaScript,7436,33248,15484,33248,"['fullpage', 'fullscreen', 'javascript', 'jquery', 'mousewheel', 'onepage', 'scrolling', 'sections', 'slide', 'slideshow', 'snap', 'swipe']",161,['Other']
tauri-apps/tauri,https://github.com/tauri-apps/tauri,Rust,816,33140,59516,33140,"['hacktoberfest', 'high-performance', 'rust', 'webview', 'works-with-clojurescript', 'works-with-construct', 'works-with-elm', 'works-with-flutter', 'works-with-gatsby', 'works-with-mint', 'works-with-phaser', 'works-with-quasar', 'works-with-react', 'works-with-reason', 'works-with-svelte', 'works-with-vue', 'works-with-yew']",152,['Web Application']
shadowsocks/shadowsocks,https://github.com/shadowsocks/shadowsocks,Python,19424,33135,891,33135,[],,['Other']
Leaflet/Leaflet,https://github.com/Leaflet/Leaflet,JavaScript,5158,33069,53809,33069,"['javascript', 'leaflet', 'maps']",855,['Other']
yangshun/front-end-interview-handbook,https://github.com/yangshun/front-end-interview-handbook,JavaScript,4937,32942,15163,32942,"['css', 'css-questions', 'front-end', 'front-end-development', 'front-end-interview', 'front-end-system-design', 'html', 'html-questions', 'interview', 'interview-preparation', 'interview-questions', 'interview-test', 'javascript', 'js-questions', 'web-development']",150,['Web Application']
pandas-dev/pandas,https://github.com/pandas-dev/pandas,Python,14026,32903,264623,32903,"['alignment', 'data-analysis', 'flexible', 'pandas', 'python']",2933,['Other']
videojs/video.js,https://github.com/videojs/video.js,JavaScript,7074,32869,124392,32869,"['dash', 'flash', 'hls', 'html', 'html5', 'html5-audio', 'html5-video', 'javascript', 'player', 'video', 'videojs']",478,['Web Application']
apachecn/ailearning,https://github.com/apachecn/ailearning,Python,10757,32762,170951,32762,"['adaboost', 'apriori', 'deeplearning', 'dnn', 'fp-growth', 'kmeans', 'logistic', 'lstm', 'mahchine-leaning', 'naivebayes', 'nlp', 'pca', 'python', 'recommendedsystem', 'regression', 'rnn', 'scikit-learn', 'sklearn', 'svd', 'svm']",9,['Other']
sharkdp/bat,https://github.com/sharkdp/bat,Rust,872,32757,28051,32757,"['cli', 'command-line', 'git', 'hacktoberfest', 'rust', 'syntax-highlighting', 'terminal', 'tool']",282,['Other']
sahat/hackathon-starter,https://github.com/sahat/hackathon-starter,JavaScript,7558,32557,13675,32557,"['boilerplate', 'hackathon', 'hacktoberfest', 'nodejs', 'oauth2', 'starter-kit']",197,['Other']
airbnb/lottie-android,https://github.com/airbnb/lottie-android,Java,5216,32477,135638,32477,"['after-effects', 'airbnb', 'android', 'animation', 'lottie']",116,['Mobile App']
gulpjs/gulp,https://github.com/gulpjs/gulp,JavaScript,4398,32469,1104,32469,[],257,['Other']
shadowsocks/shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,Kotlin,11571,32340,53140,32340,"['android', 'shadowsocks']",47,['Mobile App']
koajs/koa,https://github.com/koajs/koa,JavaScript,3145,32339,2822,32339,['koa'],215,['Other']
BVLC/caffe,https://github.com/BVLC/caffe,C++,18953,32293,76170,32293,"['deep-learning', 'machine-learning', 'vision']",313,['AI']
bumptech/glide,https://github.com/bumptech/glide,Java,5897,32274,91802,32274,"['android', 'disk-cache', 'gif', 'glide', 'imageloader']",168,['Mobile App']
exacity/deeplearningbook-chinese,https://github.com/exacity/deeplearningbook-chinese,TeX,8971,32225,8908,32225,[],20,['Other']
apache/spark,https://github.com/apache/spark,Scala,25276,32176,409609,32176,"['big-data', 'java', 'jdbc', 'python', 'r', 'scala', 'spark', 'sql']",2629,['Other']
PowerShell/PowerShell,https://github.com/PowerShell/PowerShell,C#,5264,32092,82798,32092,"['command-line', 'hacktoberfest', 'linux', 'macos', 'netcore', 'powershell', 'shell', 'windows']",435,['Other']
quilljs/quill,https://github.com/quilljs/quill,JavaScript,2736,32061,13699,32061,"['editor', 'quill', 'rich-text-editor', 'wysiwyg']",136,['Other']
google/material-design-lite,https://github.com/google/material-design-lite,HTML,5201,31972,56968,31972,"['material', 'material-components', 'material-design', 'material-design-lite', 'mdl']",198,['Other']
typescript-cheatsheets/react,https://github.com/typescript-cheatsheets/react,JavaScript,2671,31924,2520,31924,"['cheatsheet', 'hacktoberfest', 'react', 'reference', 'ts', 'typescript', 'typescript-playground']",150,['Web Application']
minio/minio,https://github.com/minio/minio,Go,3685,31908,107138,31908,"['amazon-s3', 'cloud', 'cloudnative', 'cloudstorage', 'go', 'objectstorage', 's3', 'storage']",355,['Other']
ventoy/Ventoy,https://github.com/ventoy/Ventoy,C,2379,31883,177552,31883,"['bootable-usb', 'chromeos', 'iso-files', 'legacy', 'linux', 'multiboot', 'secure-boot', 'uefi', 'unix', 'usb', 'vmware', 'windows']",56,['Other']
zenorocha/clipboard.js,https://github.com/zenorocha/clipboard.js,JavaScript,4036,31861,4270,31861,"['clipboard', 'javascript']",62,['Other']
lerna/lerna,https://github.com/lerna/lerna,JavaScript,2097,31843,10283,31843,"['lerna', 'monorepo', 'npm', 'package', 'publishing']",272,['Other']
floodsung/Deep-Learning-Papers-Reading-Roadmap,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,Python,6816,31830,3638,31830,['deep-learning'],31,['AI']
immutable-js/immutable-js,https://github.com/immutable-js/immutable-js,TypeScript,1853,31799,40302,31799,[],213,['Other']
RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,JavaScript,7227,31794,283835,31794,"['chat', 'collaboration', 'foss', 'free', 'hacktoberfest', 'javascript', 'meteor', 'mit', 'real-time', 'slack', 'webrtc']",874,['Web Application']
rclone/rclone,https://github.com/rclone/rclone,Go,2851,31587,167689,31587,"['amazon-drive', 'azure-blob', 'backblaze-b2', 'cloud-storage', 'dropbox', 'encryption', 'ftp', 'fuse-filesystem', 'go', 'golang', 'google-cloud-storage', 'google-drive', 'hubic', 'onedrive', 'openstack-swift', 'rclone', 's3', 'sftp', 'sync', 'webdav']",549,['Web Application']
ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,TypeScript,7372,31462,6528,31462,"['admin', 'ant-design', 'antd', 'antv', 'boilerplate', 'dashboard', 'enterprise', 'react', 'umi']",300,['Web Application']
iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,Python,7149,31461,842998,31461,"['arxiv', 'creating-deepfakes', 'deep-face-swap', 'deep-learning', 'deep-neural-networks', 'deepface', 'deepfacelab', 'deepfakes', 'deeplearning', 'face-swap', 'faceswap', 'fakeapp', 'machine-learning', 'neural-nets', 'neural-networks']",21,['AI']
hashicorp/terraform,https://github.com/hashicorp/terraform,Go,7363,31427,192412,31427,"['cloud', 'cloud-management', 'graph', 'infrastructure-as-code', 'terraform']",1947,['Other']
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,Java,4096,31416,197164,31416,"['disassembler', 'reverse-engineering', 'software-analysis']",194,['Other']
wg/wrk,https://github.com/wg/wrk,C,2609,31392,38743,31392,[],,['Other']
photonstorm/phaser,https://github.com/photonstorm/phaser,JavaScript,6673,31344,340636,31344,"['canvas', 'facebook-instant-games', 'game-development', 'game-frameworks', 'gamedev', 'html5-game-development', 'javascript', 'phaser', 'phaser-development', 'phaserjs', 'webgl']",586,"['Web Application', 'Framework']"
Kong/kong,https://github.com/Kong/kong,Lua,4114,31331,22616,31331,"['api-gateway', 'api-management', 'apis', 'cloud-native', 'consul', 'devops', 'docker', 'iot', 'kong', 'kubernetes', 'kubernetes-ingress', 'kubernetes-ingress-controller', 'luajit', 'microservice', 'microservices', 'nginx', 'reverse-proxy', 'serverless', 'servicecontrol']",302,['Web Application']
preactjs/preact,https://github.com/preactjs/preact,JavaScript,1740,31197,11100,31197,"['components', 'dom', 'jsx', 'preact', 'react', 'vdom', 'virtual-dom']",293,['Web Application']
Homebrew/brew,https://github.com/Homebrew/brew,Ruby,7289,31188,57735,31188,"['brew', 'homebrew', 'macos', 'package-manager', 'ruby']",1031,['Other']
blueimp/jQuery-File-Upload,https://github.com/blueimp/jQuery-File-Upload,PHP,8221,31086,4398,31086,[],112,['Other']
facebook/docusaurus,https://github.com/facebook/docusaurus,TypeScript,4334,31055,225448,31055,"['documentation', 'hacktoberfest', 'javascript', 'open-source', 'react', 'website']",835,['Web Application']
jondot/awesome-react-native,https://github.com/jondot/awesome-react-native,JavaScript,3823,31046,8381,31046,"['awesome-list', 'mobile', 'react', 'react-native']",627,['Web Application']
XX-net/XX-Net,https://github.com/XX-net/XX-Net,Python,7811,31046,44718,31046,"['gfw', 'goagent', 'proxy', 'uncensored', 'vpn']",89,['Other']
open-guides/og-aws,https://github.com/open-guides/og-aws,Shell,3339,30902,8373,30902,[],231,['Other']
evanw/esbuild,https://github.com/evanw/esbuild,Go,778,30777,32767,30777,"['commonjs', 'compiler', 'css', 'es6', 'javascript', 'jsx', 'minifier', 'module-bundler', 'react', 'tsx', 'typescript']",78,['Web Application']
faif/python-patterns,https://github.com/faif/python-patterns,Python,6217,30639,3754,30639,"['design-patterns', 'idioms', 'python']",121,['Other']
testerSunshine/12306,https://github.com/testerSunshine/12306,Python,9482,30594,58572,30594,[],32,['Other']
NervJS/taro,https://github.com/NervJS/taro,TypeScript,4039,30577,1358213,30577,"['javascript', 'jquery', 'nerv', 'nervjs', 'react', 'react-native', 'reactjs', 'taro', 'typescript', 'vue', 'vue3', 'wechat', 'wechat-mini-program', 'weixin', 'wxapp']",450,['Web Application']
pingcap/tidb,https://github.com/pingcap/tidb,Go,4927,30529,322843,30529,"['cloud-native', 'database', 'distributed-database', 'distributed-transactions', 'go', 'hacktoberfest', 'htap', 'mysql', 'mysql-compatibility', 'scale', 'serverless', 'sql', 'tidb']",786,['Other']
dylanaraps/pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,Shell,2751,30521,232,30521,"['bash', 'bible', 'book', 'guide', 'handbook', 'how-to', 'learning', 'list', 'reference', 'script', 'shell', 'shell-scripts']",21,['Other']
google-research/bert,https://github.com/google-research/bert,Python,8565,30517,317,30517,"['google', 'natural-language-processing', 'natural-language-understanding', 'nlp', 'tensorflow']",30,['Other']
Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,Java,10166,30468,47296,30468,"['android', 'androidx', 'app', 'bar', 'cache', 'encode', 'encrypt', 'eventbus', 'file', 'fragment', 'log', 'network', 'permission', 'reflect', 'regex', 'snackbar', 'spannable-string', 'thread-pool', 'toast', 'utils']",46,['Mobile App']
d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,Python,7207,30403,232241,30403,"['book', 'chinese', 'computer-vision', 'deep-learning', 'machine-learning', 'natural-language-processing', 'notebook', 'python']",217,['AI']
agalwood/Motrix,https://github.com/agalwood/Motrix,JavaScript,3614,30303,31790,30303,"['aria2', 'bittorrent', 'bt', 'download', 'download-manager', 'electron', 'linux', 'mac', 'macos', 'magnet', 'motrix', 'windows']",58,['Other']
nolimits4web/swiper,https://github.com/nolimits4web/swiper,JavaScript,9605,30266,66579,30266,"['carousel', 'gallery', 'mobile', 'slider', 'swipe', 'swiper', 'touch', 'touch-events']",250,['Other']
getsentry/sentry,https://github.com/getsentry/sentry,Python,3373,30254,246324,30254,"['apm', 'crash-reporting', 'crash-reports', 'csp-report', 'devops', 'django', 'error-logging', 'error-monitoring', 'hacktoberfest', 'monitor', 'monitoring', 'python', 'sentry']",631,['Other']
wagoodman/dive,https://github.com/wagoodman/dive,Go,1165,30234,4492,30234,"['cli', 'docker', 'docker-image', 'explorer', 'inspector', 'tui']",39,['Other']
shadowsocks/ShadowsocksX-NG,https://github.com/shadowsocks/ShadowsocksX-NG,Swift,7930,30168,50769,30168,"['kcptun', 'macos', 'shadowsocks', 'shadowsocksx-ng', 'swift', 'v2ray-plugin']",34,['Other']
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,C,7759,30061,8283,30061,"['android', 'ffmpeg', 'ijkplayer', 'ios', 'player', 'video']",63,['Mobile App']
Eugeny/tabby,https://github.com/Eugeny/tabby,TypeScript,1793,30050,82633,30050,"['serial', 'ssh-client', 'telnet-client', 'terminal', 'terminal-emulators']",85,['Other']
google/styleguide,https://github.com/google/styleguide,HTML,11816,30013,2459,30013,"['cpplint', 'style-guide', 'styleguide']",96,['Other']
geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,Java,5853,30009,365033,30009,"['algorithms', 'dynamic-programming', 'interview-questions', 'leetcode', 'leetcode-solutions']",15,['Other']
nativefier/nativefier,https://github.com/nativefier/nativefier,TypeScript,1922,29956,6085,29956,"['desktop-application', 'electron', 'linux', 'macos', 'nodejs', 'windows']",130,['Other']
golang-standards/project-layout,https://github.com/golang-standards/project-layout,Makefile,3334,29912,293,29912,"['go', 'golang', 'project-structure', 'project-template', 'standards']",42,['Other']
carbon-app/carbon,https://github.com/carbon-app/carbon,JavaScript,1684,29806,19339,29806,"['beautiful', 'carbon', 'education', 'github-gist', 'javascript', 'presentation', 'sharing', 'snippets', 'tweet']",177,['Other']
jaredpalmer/formik,https://github.com/jaredpalmer/formik,TypeScript,2456,29794,13364,29794,"['form', 'formik', 'forms', 'higher-order-component', 'hooks', 'react', 'react-hooks', 'react-native', 'render-props']",418,['Web Application']
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,Python,3347,29725,15931,29725,"['cli', 'hacktoberfest', 'information-gathering', 'linux', 'macos', 'osint', 'python3', 'reconnaissance', 'redteam', 'sherlock', 'tools', 'windows']",154,['Other']
eugenp/tutorials,https://github.com/eugenp/tutorials,Java,47332,29657,328317,29657,[],1215,['Other']
marktext/marktext,https://github.com/marktext/marktext,JavaScript,2146,29654,73628,29654,"['dark-mode', 'editor', 'electron', 'element-ui', 'emoji', 'focus-mode', 'latex', 'linux', 'mac', 'macos', 'markdown', 'marktext', 'next-generation', 'source-code', 'typewriter-mode', 'vue', 'windows']",145,['Web Application']
GokuMohandas/MadeWithML,https://github.com/GokuMohandas/MadeWithML,Jupyter Notebook,4997,29639,25703,29639,"['data-science', 'deep-learning', 'machine-learning', 'mlops', 'natural-language-processing', 'python', 'pytorch']",,['AI']
istio/istio,https://github.com/istio/istio,Go,6142,29633,208694,29633,"['api-management', 'circuit-breaker', 'consul', 'enforce-policies', 'envoy', 'fault-injection', 'kubernetes', 'lyft-envoy', 'microservice', 'microservices', 'nomad', 'polyglot-microservices', 'proxies', 'request-routing', 'resiliency', 'service-mesh']",878,['Web Application']
BurntSushi/ripgrep,https://github.com/BurntSushi/ripgrep,Rust,1341,29623,4444,29623,"['cli', 'command-line', 'command-line-tool', 'gitignore', 'grep', 'recursively-search', 'regex', 'ripgrep', 'search']",310,['Other']
serhii-londar/open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,Swift,1942,29613,8067,29613,"['applications', 'apps', 'awesome', 'awesome-list', 'c', 'c-plus-plus', 'hacktoberfest', 'javascript', 'mac', 'macos', 'macos-application', 'macosx', 'objective-c', 'open-source', 'opensource', 'python', 'ruby', 'swift']",266,['Other']
dkhamsing/open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,Swift,4662,29494,17691,29494,"['app', 'apple', 'apple-tv', 'apple-watch', 'awesome', 'cocoapods', 'example', 'game', 'ios', 'ipad', 'iphone', 'list', 'objective-c', 'react-native', 'reactive-programming', 'reactiveswift', 'swift', 'swiftui', 'tvos', 'watchos']",333,"['Mobile App', 'Web Application']"
iina/iina,https://github.com/iina/iina,Swift,2191,29355,252276,29355,"['macos', 'mpv', 'swift', 'video', 'video-player']",115,['Other']
