Project Name,URL,Language,Forks,Watchers,Size Byte,Stars,Topics,Contributors,Type
webpack/webpack,https://github.com/webpack/webpack,JavaScript,8238,60573,57035,60573,"['amd', 'build-tool', 'commonjs', 'compiler', 'es2015', 'es6', 'esm', 'javascript', 'javascript-compiler', 'javascript-modules', 'loaders', 'module-bundler', 'plugins', 'web', 'web-performance', 'webpack']",805,['Web Application']
opencv/opencv,https://github.com/opencv/opencv,C++,50389,59989,504542,59989,"['c-plus-plus', 'computer-vision', 'deep-learning', 'image-processing', 'opencv']",1871,['AI']
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,Java,35764,59836,147076,59836,"['framework', 'java', 'spring', 'spring-boot']",1080,"['Web Application', 'Framework']"
typicode/json-server,https://github.com/typicode/json-server,JavaScript,5826,59830,2721,59830,[],76,['Other']
angular/angular.js,https://github.com/angular/angular.js,JavaScript,28391,59519,101603,59519,[],1849,['Other']
apple/swift,https://github.com/apple/swift,C++,9443,58825,779205,58825,[],1134,['Other']
huggingface/transformers,https://github.com/huggingface/transformers,Python,13887,58766,89828,58766,"['bert', 'deep-learning', 'flax', 'hacktoberfest', 'jax', 'language-model', 'language-models', 'machine-learning', 'model-hub', 'natural-language-processing', 'nlp', 'nlp-library', 'pretrained-models', 'python', 'pytorch', 'pytorch-transformers', 'seq2seq', 'speech-recognition', 'tensorflow', 'transformer']",1163,['AI']
elastic/elasticsearch,https://github.com/elastic/elasticsearch,Java,21344,58690,962589,58690,"['elasticsearch', 'java', 'search-engine']",1854,['Other']
hakimel/reveal.js,https://github.com/hakimel/reveal.js,JavaScript,16037,58599,18450,58599,"['presentations', 'slides', 'slideshow']",324,['Other']
netdata/netdata,https://github.com/netdata/netdata,C,5201,58253,85030,58253,"['alerting', 'analytics', 'cncf', 'containers', 'dashboard', 'devops', 'docker', 'grafana', 'graphing', 'graphite', 'influxdb', 'iot', 'kubernetes', 'monitoring', 'netdata', 'notifications', 'observability', 'prometheus', 'statsd', 'time-series']",536,['Other']
pallets/flask,https://github.com/pallets/flask,Python,14890,58133,8994,58133,"['flask', 'jinja', 'pallets', 'python', 'web-framework', 'werkzeug', 'wsgi']",757,"['Web Application', 'Framework']"
