Project Name,URL,Language,Forks,Watchers,Size Byte,Stars,Topics,Contributors
doocs/advanced-java,https://github.com/doocs/advanced-java,Java,16642,61028,28696,61028,"['advanced-java', 'distributed-search-engine', 'distributed-systems', 'doocs', 'dubbo', 'elasticsearch', 'eureka', 'feign', 'high-availability', 'high-concurrency', 'hystrix', 'java', 'message-queue', 'microservices-architecture', 'redis', 'ribbon', 'rpc', 'spring-cloud', 'springcloud-config', 'zookeeper']",35
webpack/webpack,https://github.com/webpack/webpack,JavaScript,8227,60547,56668,60547,"['amd', 'build-tool', 'commonjs', 'compiler', 'es2015', 'es6', 'esm', 'javascript', 'javascript-compiler', 'javascript-modules', 'loaders', 'module-bundler', 'plugins', 'web', 'web-performance', 'webpack']",805
opencv/opencv,https://github.com/opencv/opencv,C++,50344,59915,504469,59915,"['c-plus-plus', 'computer-vision', 'deep-learning', 'image-processing', 'opencv']",1871
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,Java,35723,59795,146971,59795,"['framework', 'java', 'spring', 'spring-boot']",1080
typicode/json-server,https://github.com/typicode/json-server,JavaScript,5823,59768,2721,59768,[],76
angular/angular.js,https://github.com/angular/angular.js,JavaScript,28394,59524,101603,59524,[],1849
apple/swift,https://github.com/apple/swift,C++,9438,58787,777555,58787,[],1132
elastic/elasticsearch,https://github.com/elastic/elasticsearch,Java,21327,58635,961328,58635,"['elasticsearch', 'java', 'search-engine']",1853
huggingface/transformers,https://github.com/huggingface/transformers,Python,13856,58618,89546,58618,"['bert', 'deep-learning', 'flax', 'hacktoberfest', 'jax', 'language-model', 'language-models', 'machine-learning', 'model-hub', 'natural-language-processing', 'nlp', 'nlp-library', 'pretrained-models', 'python', 'pytorch', 'pytorch-transformers', 'seq2seq', 'speech-recognition', 'tensorflow', 'transformer']",1163
hakimel/reveal.js,https://github.com/hakimel/reveal.js,JavaScript,16032,58567,17818,58567,"['presentations', 'slides', 'slideshow']",323
netdata/netdata,https://github.com/netdata/netdata,C,5199,58134,84955,58134,"['alerting', 'analytics', 'cncf', 'containers', 'dashboard', 'devops', 'docker', 'grafana', 'graphing', 'graphite', 'influxdb', 'iot', 'kubernetes', 'monitoring', 'netdata', 'notifications', 'observability', 'prometheus', 'statsd', 'time-series']",533
pallets/flask,https://github.com/pallets/flask,Python,14877,58090,8980,58090,"['flask', 'jinja', 'pallets', 'python', 'web-framework', 'werkzeug', 'wsgi']",757
reduxjs/redux,https://github.com/reduxjs/redux,TypeScript,15109,57554,25375,57554,['redux'],921
